lemma,freq
i,390132
że,91525
a,75165
lub,54993
ale,48049
oraz,43274
aby,37046
jeśli,28339
to,24229
bo,17863
jednak,17058
czy,14633
by,14258
jako,13664
tylko,9166
jeżeli,7564
albo,7524
jak,7406
niż,6973
ponieważ,6885
żeby,6759
czyli,6362
ani,5782
co,5278
zarówno,4747
choć,4149
iż,3401
lecz,3230
zatem,3155
gdyby,2834
gdyż,2759
zanim,2613
aż,2522
chociaż,2475
skoro,1893
bądź,1783
jakby,1422
im,1246
zamiast,1088
tudzież,685
dopóki,679
póki,559
aczkolwiek,392
inaczej,352
kiedy,332
niby,318
toteż,289
ażeby,255
nim,250
byle,197
albowiem,178
aniżeli,178
jakkolwiek,164
ni,157
choćby,131
acz,124
iżby,123
jesli,84
ergo,68
atoli,52
dopóty,47
jakoby,45
jeśliby,45
niżeli,43
aliści,38
zaledwie,35
alias,33
ali,33
niźli,19
ledwie,15
miast,13
abo,6
