lemma,freq
e,4547
o,2138
a,818
oj,605
ach,363
mniam,341
naturalnie,326
wow,285
hej,204
hm,130
och,117
ej,114
kurwa,108
aha,94
kurczę,83
ojej,73
me,66
au,64
no,63
nieprawdaż,55
halo,55
hmm,54
pi,50
kurde,50
jejku,49
uff,49
tak,48
na,45
aj,43
stop,40
pa,35
fuj,35
hurra,32
kuchnia,31
precz,25
spoko,24
hop,24
tfu,23
oho,21
fe,20
okej,19
dalej,19
kwa,19
klik,18
mu,17
cześć,16
bum,15
basta,15
bu,15
ryzyk-fizyk,13
Jezu,12
dość,11
rety,10
oczywiście,10
be,10
brr,9
bach,9
amen,8
won,8
nu,8
nuże,8
hejka,7
biada,7
jeny,7
uf,6
mhm,6
psiakość,6
akurat,5
alleluja,5
ojejku,5
