lemma,freq
wiele,28999
dwa,12497
trzy,5376
dużo,3151
oba,3118
cztery,2427
tyle,2307
pięć,1681
pół,1442
trochę,1152
mało,906
sześć,891
siedem,624
dziesięć,571
sto,491
osiem,470
obydwa,434
dwadzieścia,289
dziewięć,242
trzydzieści,212
dwanaście,160
półtora,149
pięćdziesiąt,105
piętnaście,96
czterdzieści,76
osiemnaście,76
jedenaście,70
jeden,67
czternaście,66
szereg,54
trzynaście,54
dwieście,52
szesnaście,47
siedemnaście,45
sześćdziesiąt,40
ćwierć,25
osiemdziesiąt,23
trzysta,21
dziewięćdziesiąt,20
siedemdziesiąt,18
osiemset,15
pięćset,12
czterysta,11
dziewiętnaście,8
sześćset,6
