lemma,freq
się,2249
nie,1778
czy,302
by,223
tylko,218
też,203
również,202
także,178
jeszcze,170
nawet,161
to,141
właśnie,82
może,79
niestety,66
chyba,59
no,59
naprawdę,56
ponad,53
oczywiście,53
tak,50
aż,45
wyłącznie,43
z,42
za,39
jedynie,39
raczej,35
około,34
przecież,30
prawie,27
dopiero,27
ponadto,27
oto,27
jednak,24
dość,23
niech,22
co,20
niemal,18
pewnie,18
szczególnie,18
zaledwie,17
znowu,17
zapewne,17
zwłaszcza,16
głównie,15
przynajmniej,14
wręcz,14
właściwie,12
zresztą,12
prawdopodobnie,11
wreszcie,10
podobno,10
ale,10
otóż,8
niby,8
dosyć,7
znów,7
wprawdzie,6
coś,6
dokładnie,5
jakby,5
tam,4
wprost,4
ani,4
wszak,4
zarazem,4
nadto,4
oby,3
poniekąd,3
akurat,3
toż,3
chociaż,3
chociażby,3
li,3
gdzie,3
choćby,3
aby,3
bo,3
bynajmniej,3
ta,3
bądź,2
widocznie,2
niemalże,2
ależ,2
zaraz,2
jeno,2
niejako,2
blisko,2
ot,1
czyżby,1
ponoć,1
nieomal,1
azaliż,1
przeszło,1
zaprawdę,1
nareszcie,1
pewno,1
czyli,1
że,1
choć,1
azali,1
