lemma,freq
w,4483
z,2979
na,2954
do,2022
o,855
dla,629
po,542
od,521
za,483
przez,453
dzięki,178
przy,176
bez,175
przed,160
podczas,151
pod,138
u,103
nad,90
między,54
poprzez,53
poza,52
co,46
pomiędzy,38
niż,38
mimo,34
jako,31
wśród,28
oprócz,28
według,26
obok,22
spośród,18
wokół,15
poniżej,13
zamiast,12
pomimo,11
wobec,11
gwoli,9
ku,7
koło,6
przeciwko,6
wewnątrz,6
wedle,6
wbrew,5
wzdłuż,5
względem,5
powyżej,5
spod,5
niczym,3
zza,3
około,3
przeciw,3
nieopodal,3
sprzed,2
ponad,2
dookoła,1
naprzeciw,1
naokoło,1
lada,1
aniżeli,1
prócz,1
znad,1
spoza,1
